BV1Up64BXE3b, 「蛙做拿手菜」年夜饭灵感 🍎苹果红烧肉🤤红红火火！
BV1KAigBZExo, 这是粉丝们拍下来的2025
BV1MsBxB2EGu, 喜欢你😍喜欢你😍好想吐🤮喜欢你😍喜欢你 😍《Iris Out》翻唱/Iris Out
BV1QRm4BjES5, 旅行青蛙·扬州篇~ 喜欢瘦西湖！吃传闻中的扬州炒饭
BV1KQkyByEoo, 用我的吻给你印上口红吧。💄慵懒双女声「奢华口红」翻唱/奢华口红/華奢なリップ/Kyashana Lip
BV1GuxazoEsC, “今晚…送我回家吧”  夏日花火的那个夜晚。/寄り酔い/寄醉
BV1QFnBzbEnn, 「蛙做拿手菜」ep3. 海鲜豆面！粉丝投稿的台州菜耶
BV15tn3zxEyT, 心碎和声弹唱|爱你越久我越被动·赫拉Kris×蛙吹Keroro/被动
BV179pMzZEiT, 「蛙做拿手菜」SP: 丝瓜汤 “肝火太旺怎么办？” 大数据推到你了就喝吧。
BV1FgaozREne, 「蛙做拿手菜」ep1. 香辣虾 夏天过去前的劲辣美味！
BV1QKaGzUE5z, 狗来了也要听小提琴拉完再滑走/恋人
BV1JVexzuELw, 冷门好歌翻唱计划ep2  𝙊𝙫𝙚𝙧𝙣𝙤𝙬 - 𝘽𝙞𝙖𝙡𝙮𝙨𝙩𝙤𝙘𝙠𝙨 * 池塘小调/𝙊𝙫𝙚𝙧𝙣𝙤𝙬
BV1PPbBzKE6p,, 愿你喜爱的一切永远不枯不朽./ Birthday\\Birthday
BV1j1bEziEHM, “这个夏天的故事不会结束。” 夏令时记录 -piano.ver-/サマータイムレコード/夏日记录/夏令时记录
BV1ath8zeERh, 🐸✨天真烂漫机能 🧡无论何时 I love you！/おちゃめ機能/天真烂漫机能
BV1xf8CzoE4S, 虚拟青蛙带练！13分钟膝盖友好HIIT🔥🐸💦
BV1Gr8EzAET7, 旅行青蛙·云南篇 ～15分钟和我轻松返乡度假！
BV19vKizdEm9, “点燃心之「炎」 奔赴遥远的未来 ”/炎
BV1ZWTKz1EWZ, 旅行青蛙·苏州&上海迪士尼篇！
BV1RBEDzPEfy, 我们三个都超喜欢你！愛♡スクリ～ム！超绝可爱翻唱/愛♡スクリ～ム！
BV1Tm5QzVEJG, 【全PV描改翻唱】モニタリング 视奸 👀“我会永远看着你…”/モニタリング/视奸
BV1LqZhYwEtw, 😡直播间有没有麦当劳？
BV1gsR3YZEt2, 【TES48】放手一搏/放手一搏
BV1qoAYe9EyM, 《魔法使之夜》【旁白朗读附】（已完结）
BV1sbNDe9Epx,, 组一辈子面包战队！✨「クリティカルヒット/会心一击」翻唱【原创PV】\\クリティカルヒット\\会心一击
BV1f4f5YoEqg, 阿蛙你头顶怎么尖尖的？
BV12qcXeHEtG, 旅行青蛙·泰国篇～超悠闲的妮蛙花度假！睡前可看
BV14ScLeUE4P, 《花之塔》“唱给我听吧 关于这段故事的后续”/花の塔/花之塔
BV1EQCEYAEgX, 被重力束缚住灵魂的人啊… 《水の星へ爱をこめて》/水の星へ爱をこめて/水星爱
BV1TEqDYWEdJ, “ 绝对不会再让你孤身一人啦。”快25年了唱下Oz./Oz.
BV1be6wYfEBn, ❤ 𝑪𝒂𝒏 𝒀𝒐𝒖 𝑲𝒊𝒔𝒔 𝑴𝒆 𝑴𝒐𝒓𝒆 ？♡ 诺莺Nox & 蛙吹Keroro/Kiss Me More
BV1nJz3YTE1C, “数着一圈圈年轮，我认真将心事都封存。”/年轮
BV1ZAS9Y5EDm,, 直到满足为止留在这里吧./ ソラゴト\\ソラゴト
BV1n7ykYBEqQ, “你当时玩的那个叫什么？传颂之物？”/恋夢/恋梦
BV1y4x9eLENT, 各唱各的「夏霞」之面包战队三回战/夏霞
BV1E6pqeDEM8, Avid 翻唱“连去往何方也不知晓的，那日的群青。”/Avid
BV19Upqe5ECt, “屋内的湿气像储存爱你的记忆”/雨爱
BV1By411i7Vw, “那我们现在是什么关系？”/Pocket Locket
BV17b421J7Fr, 蛙子看番之 高达0080 口袋里的战争
BV1Py411i7ri, ☃ I love you forever where we'll have some fun./Snowman
BV1kH4y1F74b, “你给我的爱也许不完美，但却最美。”/不完美小孩
BV1NS411w7Lr, 四周年纪念回~Kero Beam新衣发布回放
BV1mw4m1a7b4, “路过人间，爱都有期限。”/路过人间
BV1Ym421V7QS, 旅行青蛙·广州篇～20分钟Vlog超下饭！
BV1sD42137xE, 带你三分钟速通BanG Dream五周年发布会
BV1im421M7D7,, 如果能成为你的女友…/ 君の彼女【菫時 × 蛙吹Keroro】\\君の彼女\\如果能成为你的女友
BV1LZ42147Hf, “ 爱让悬崖变平地 生出森林 ”/你是我的风景
BV14M4m1Z7YE, 【冰火歌会】除了春天爱情和樱花【织月黛黛X蛙吹Keroro】/봄 사랑 벚꽃 말고/除了春天、爱情和樱花
BV1ht421A7sn, “1/365的无常中，你所诞生的日子” HB to 杠杠  【codeV x keroro】/君が生まれた日/你诞生的那一天
BV1kt421w7LP, 【击鼓传画6】搞笑高光时刻
BV1Lq421A7wd, ~春樱烂漫时~新衣发布回放
BV1mr421t7mR, 蛙子看番之 高达00 【两季全】
BV1zj421U7VL, “白鸟不要回头望，你要替我飞去那地方”《白鸟过河滩》/白鸟过河滩
