# 2026年02月28日更新
BV1f1ZbB4EHf, 梓歌瞳舞！爽听爽看《鸳鸯戏》！/鸳鸯戏
BV18nZLBTEzm, 月亮船战队【2026拜年纪单品】
BV1hpZJBHEoe, 【阿梓】my love/my love
BV1AAcMz7EQA, 归期【冰火盛典】/归期
BV1ECFtzoEp9, 【泽音&阿梓】绝美的尾翼 阻止我爱你就不再瑰丽『人鱼』【泽音2026一周年3D回】/人鱼
BV1UwF6zVEuv, 小海梓 翻唱翻跳《把心跳变成节奏 》【天使妄想簿新春特辑】/把心跳变成节奏
BV15sqzBFE8K, 【阿梓】第57次取消发送/第57次取消发送
BV1zQq5BeEJm, 【阿梓】Departures~あなたにおくるあいの歌~/Departures~あなたにおくるあいの歌~
BV1Lim3B5EoG, 【异界游龙队】战前总动员，备战豪吃杯！
BV1bA2WBaEH4, 【阿梓】这世界也是我的家/这世界也是我的家
BV1VVSCBTEmE, 【阿梓】归期/归期
BV1mMSyBbEwK, 耗儿药
BV1LVUzBoEkT, 库里库里库里库里库里/库里
BV17YUQBaEs7, 【阿梓】到时说爱我😥/到时说爱我
BV14KUmBeE6a, 100万粉丝MVP结算舞蹈
BV16EyuBTELH, 讨口子大法
BV1jTygBeE5a, 【阿梓】鸳鸯戏  我太想百万粉了😭/鸳鸯戏
BV1dSCPB2E8d, 你们怎么知道我出极品s了
BV1hRkzBTE2q, 【阿梓】Let Me Be With You/Let Me Be With You
BV1Vd2wB2E1h, 【阿梓】崩坏：星穹铁道《昔涟》/昔涟
BV1J6WyzTEqq, 梓可小卖部还是导弹小店？
BV1VV4gzBEdz, ⚡寂莫的楞 伤心的歌⚡/寂寞的人伤心的歌
BV1pg4EzkEYx, 古道热肠梓神，行侠仗义助人
BV1QS4LzEE7g, 我的悲伤是水做的💦 阿梓翻唱/我的悲伤是水做的
BV1uUnQzPEH7, 全网寻找此好心人！鼠鼠最感动的一集😭
BV1Kjp3zDERf, 【阿梓】盛世天下 已更新至媚娘篇完结
BV1iDanzDERS, 是时候展现真正的实力了！
BV1sAYdzeE4Z, KXG l 飞吧，我的翅膀
BV16M8dzJEn8, 你这辈子有没有为别人拼过命。
BV1nq3Fz7EEK, 👿我只有战斗！【着魔】阿梓直播翻唱/着魔
BV1h8KuzLEyF, 【阿梓】凸变英雄X的幸运青角色歌《Take Off》/Take Off
BV1imMPzLEf1, 阿梓直播翻唱 无情画“愿为你放下万千的荣华  和你携手走天涯”/无情画
BV1vUMVziE51, 王不见王 避我锋芒
BV1AVTMzwE7H, 🔥🔥火烧的寂寞🔥🔥阿梓直播翻唱！/火烧的寂寞
BV1FC7EzmE79, 我的🎈六一🎈未来式，我做主！/我的未来式
BV1UwJ8zwEeD, 珠玉 直播生唱 阿梓/珠玉
BV1VbGtznEdc, 🍊自娱自乐🍊阿梓/自娱自乐
BV1JSoNYPEBV, 无畏契约怎么上分！！！
BV1CqfPYgE89, 发传单的小女孩
BV1qPQeYfEWe, 💔baby 我们的胜率好像跳楼机😥/跳楼机
BV1P1AWe3ExB, 果 赖 勇 闯 燕 云
BV1WtKpeyEat, 『毛茸茸软乎乎』3D原创曲【虚拟UP新春会单品】/毛茸茸软乎乎
BV1CqKLesEYF, 【补档】💥💥果赖暴力炸！💥💥
BV1u3NZeJEdw, 画 中 仙
BV1NwNme1E7p, 星小海梓！恋爱告急，但是超甜四人组！/恋爱告急
BV1zhFietEqJ, 【春意红包2025】一起给大家拜年啦! 初五财神到，拿来大红包~/春意红包
BV1VGfpYgErH, 俺、要去二次元！【2025拜年纪单品】
BV12qfQY1ELj, 大制作！梓宝祝大家【恭喜发财】！/恭喜发财
BV1y9rUYxEg7, 来一段【火力全开】阿梓/火力全开
BV1SmrTYEEaW, 【爱错】阿梓/爱错
BV1twCPYgECr, 圣诞节🎄快乐！！
BV1zqq8YSEtF, 大 澡 堂
BV1tRB3YJEZK, 【阿梓】我的第一个vlog！！！请欣赏😇😇
BV1t5qNYbEkZ, 顶 级 操 作
BV1NEikYtE98, 阿梓『喜欢你是我的秘密深度就像在海底十万米』——for ya/for ya/给你呀
BV1MPzsYREYq, 【凑热闹】*温柔可爱版* 主包超绝运镜！/凑热闹
BV1FSSUYBEq2, 【七月七日晴】 阿梓/七月七日晴
BV1QNSfYEEAF, 骂我的人看到我这么可爱还舍得骂我吗*^o^*
BV1N8yeY4Em6, 😡不能专挑我一个人欺负！！😡😡😡/免我蹉跎苦
BV1sQycYAEQ8, 我是噪音制造器吗！
BV1RT2dYBEgK, 我来说两句
BV1fymnYJENf, 【疯子】梓神哭了 梓神笑了 梓神疯了！/疯子
BV1K612YwEut, 六星街里还传来！巴扬琴吗！/苹果香
BV12wxpecEc5, 提拉米苏！
BV1F142147HN, 【阿梓从小就很可爱】最新视频已上线，快来围观！
BV1K2421o751, 阿梓 【我敢】 edg加油！cn瓦加油！/我敢
BV16E4m1R7Bq, 【阿梓手书】夏天的风/夏天的风
BV18b421J74s, 为什么说果赖是T0级神黄！
BV1yw4m1r7Xg, 阿梓 太聪明/太聪明
BV1Ef421i7aY, 阿梓 lalala曼波/La La La
BV18T42167nT, 童话镇 阿梓直播翻唱/童话镇
BV1q4421U7G9, 「爱未枯竭前」/阿梓从小就很可爱 feat. 式浦躁吾/爱未枯竭前/せっかく濡れた愛が渇く前に
BV1FJ4m1M7HN, 「せっかく濡れた愛が渇く前に」/阿梓从小就很可爱 feat. 式浦躁吾/爱未枯竭前/せっかく濡れた愛が渇く前に
BV1zb421n7gH, MECRE×VirtuaReal 第三弹阵容公开！/阿梓从小就很可爱 feat. 式浦躁吾
BV1hz421q7xP, 阿梓×尔东和小明倾情演出《暁の車》带你重温高达经典旋律【BML2024单品】/暁の車/晓之车
BV1Fw4m1Y7Jz, 15单648！狂暴保底王梓 敬请见证！觉得热的来主播心里避暑..
BV11x4y1t7TW, 最不屑一顾是【相思】 阿梓/相思
BV1Xi421a7qT, 😇😇来自天堂的魔鬼 凳梓齐版😈😈/来自天堂的魔鬼
BV1cS421o714, 阿梓从小就很可爱来啦！【UP！大侦探】嘉宾官宣！
BV12Z421u7jA, 阿梓《人是_》铁饭是钢！！/人是_/人是
BV1dT421i7PJ, 《鸣潮》公测EP曲｜Waking of a World 翻唱【小海梓】/Waking of a World
BV1qf421m71q, V R 造 谣 王
BV1Km421p7ac, 让我如何降落《安全地带》| 510原创曲/安全地带
BV1hD421K7KN, 「是妈妈是女儿」阿梓&小可【冰火歌会】/是妈妈是女儿
BV1np421Q7sj, 3岁生日快乐！《坎友地久天长》，我们的冒险永远不走散！
BV1dZ421q7tb, 俺是河南嘞！河南洛阳嘞【5：20AM】阿梓/5：20AM/5:20AM
BV1wC411j75p, 是蛙梓！！！
BV1fJ4m1j7qH, 果赖震撼你的五杀残局！
BV1K2421K71N, 梓神-谁「在你眼中我是谁 你想我代替谁」/谁
BV1hz421Q7uU, 三月就得听三月雨！！/三月雨
BV1ky421q731, 无畏契约看果赖，女生漂亮男生帅！
BV1cx42127v9, 心中的愿，不会黯淡【一梦千宵】/一梦千宵
BV1MF4m1E79g, 地主交给他们，我们负责“欢乐“跟“逗”！
BV1vJ4m147w5, 阿梓祝大家龙年大吉 《越来越好》！！/越来越好
BV1PC41147Qu, 春晚大合唱抢先听！V圈最有年味的一集！/相亲相爱
BV11t421h72f, 【阿肝】这次我是主角，不是NPC！ |《命运拳台》阿肝角色曲/阿肝
BV1it421W71X, 与菜菜子战鹰一起看《命运拳台》吐槽拉满火力全开，谁来都得汗流浃背！
BV1Z6421g7jp, 不眠之夜！启动！/不眠之夜
BV1JC411z7ut, 你是？《是你》？/是你
BV1BU421Z7Qo, 果赖震撼你的五杀！帅不帅！
BV1nZ4y1E7So, 【禁区】阿梓直播翻唱/禁区
BV1Xa4y1k7V6, 【素颜】梓/素颜
BV1zV411X7Xh, 和“主演”一起看命运拳台，戏里戏外难分辨！
BV1MN4y1p7rj, 我花30开会员剪的无畏契约集锦 大家看看怎么样
BV1RN4y1v7dn, 我不转弯！！！！！！！！/盛夏光年
BV16a4y1272i, 梓宝不经意打动你的《瞬》间/瞬
BV1FT4y1p7j2, 小学生版水手之东山再起坚持不懈重整旗鼓卷土重来无畏契约版/水手
BV1TG411B7NA, 阿梓打瓦开麦再次被当小孩：卧槽蝰蛇是小孩哥？你是不是偷偷玩你爸的电脑？
BV1V5411B7GM, 卜呱！卜呱！卜呱！卜呱！卜呱！卜呱！！！/卜卦
BV1WW4y1N7rD, 梓神走过多少的岁月！！！！！！！！！！！！！！！！！/一笑江湖
BV1R94y1g7tc, 我勒个豆！【谭某某】这么帅😲/谭某某
BV1EQ4y1J79J, 阿梓直播看自己的配音视频，笑嘻了！【命运拳台Reaction】
BV1kN4y187eo, 阿梓打瓦开麦被当小学生：小孩你多大了？你周一不上学吗？
BV1hj411J7KZ, 玩这个都要尔虞我诈？？
BV1Si4y1a7wF, 听说命运拳台配音棚里哔声连连？！【命运拳台开播倒计时1天】
BV1Su4y1K7RY, 虚拟偶像能做配音吗？边江和李豪凌的绝密通话曝光？！！【命运拳台开播倒计时2天】
BV1EC4y1S7tP, 边江和阿梓因为命运拳台吵起来了？！！！【命运拳台开播倒计时3天】
BV1HC4y1X7gP, 【阿梓】遇中惨遭落单，吓懵小孩绷不住哭哭，离职下播洗澡
BV1xC4y1A7QT, 【暧】翻唱/暧
BV1hC4y1L7hE, 秋意浓【冰火秋日游】/秋意浓
BV1wy4y1F7BG, 【小海梓】是真的饿了…能直接出动么？
BV1bu411A7do, 【泳装彩排花絮】我们仨就是最有默契的楞！
BV1Hz4y1K7K6, 【4K】LOVE DIVE 没想到我们跳了吧
BV1xF411k7T7, 【4K】泳装这么可爱真是抱歉
BV1XN4y1R7K9, 【4K】summertime 夏日海边我们在一起/summertime/夏日时光
BV17N411q7jY, 当心手雷！！！！果赖玩雷兹最爽的一集！
BV1jN411q7Qy, 想去海边 3D泳装直播
BV1Z44y1c7t4, 【凄美地】此视频所有收益用于启动无畏契约！/凄美地
BV1q84y1Z7CT, 阿梓x艾因【蓝色monday】/蓝色monday
BV1Cp4y1V7zE, 致黯淡星 ———冰火歌回【阿梓 乌龟酱】/致黯淡星
BV1ru4y127St,, 天使にふれたよ!  / 相遇天使 🎸\\天使にふれたよ!\\相遇天使
BV1fm4y1s7KV, 【梓】挨那么多揍，还不能嚣张一回？
BV13z4y1i7FD, 【光亮】 直播间3000人听过都哭了；；/光亮
BV1UP411Q72m, (>ω･* )ﾉ来聊天室踩踩这首《艾米修》吧！/I Miss You
BV1jL411z7Lw, 【阿梓】小美人鱼中文版 你的世界/你的世界
BV1fo4y1g7Nz, 如果。。。😢😢/怎样
BV1LL411h7iY, 5月10日！Baby you♡好きになっちゃうよ
BV12s4y1m773, 听话？那是不可能的！
BV16L411U7vB, 全体集合！上海美琪大戏院！
BV1Pv4y1e7HY, 【APEX S16赛季 X 阿梓】为了热爱而《狂欢》/狂欢
BV16x4y1u7JZ, 【七海x阿梓x小可】查收你的金色传说！
BV1Rd4y1V7cS, 【七海x阿梓x小可原创曲】星遇/星遇
BV1YK411k7Dc, 【原创曲预告】七海x阿梓x小可给您拜年啦！
BV1XD4y157Xt, VirtuaReal2022春季接力歌回Day2
BV1Ke411w7a5, All I Want for Christmas Is You【七海x阿梓x小可x艾因x真绯瑠】/All I Want for Christmas Is You
BV1aD4y177wb, 天上掉下个阿梓宝！/天上掉下个林妹妹
BV1j44y1S7Ny, 一镜到底！【限定游戏】超晒练习室公开/限定游戏
BV1pK411X7XQ, 虚拟主播高能放送108：带我一个
BV1nv4y127su, 最红温版😡😢《没离开过》！😊/没离开过
BV1qe4y1p7WH, 全✋是✋爱✋/全是爱
BV1ZG411w7M8, 虚拟主播高能放送103：八木樱，谢谢你
BV1iW4y1H7DZ, 【阿梓】两个恰恰好/两个恰恰好
BV1GD4y127nG, 国庆快乐！唱个爱我中华！/爱我中华
BV1wt4y1P78e, Virtual to LIVE【夏日合唱Super】/Virtual to LIVE
BV1rT411T7My, 【星弥x勺x阿梓x小可x千幽x瑞娅】Connecting【夏日合唱Super】/Connecting
BV1Rt4y1A7v6, Zero 2 Hero【夏日合唱Super】/Zero 2 Hero
BV1je411K7zC, 【七海x阿梓x小可】孤勇者【夏日合唱Super】/孤勇者
