BV1zxctzAERF, 【原创曲】荒芜 “ 他的世界我不明白 我的梦里你不存在”/荒芜
BV1Lo6yBWEat, 两猫一鼠绝地求生 没一个诗人
BV1ddkeBcELN, 他喊着豹豹猫猫就冲上去了
BV1WVi2BoEjr, 5%的存活几率也行？！感情升温最快的一集【骗子酒馆】
BV1YpiMBTESz, (^._.^)写了首歌祝自己新年快乐**/新年快乐FreeStyle
BV1CUH6ztE2D, 【雾深X奈奈莉娅】レクイエム (镇魂曲)/レクイエム/镇魂曲
BV1pdtVz8E75, 『神的说唱』王不见王、避我锋芒 | 神人说唱rap | 抽象饶舌/神的说唱
BV1h8KuzLEyF, 【阿梓】凸变英雄X的幸运青角色歌《Take Off》/Take Off
BV1v6JVzwEst, “这次换来我主动开口”→难得深情一次/主 动/主动
BV1mFJNz4ENp, 嗓子哑了，唱苦味的【阿司匹林】/阿司匹林
BV1MafKYpEJ4, 【原创RAP】！小 心 坏 女 人  ！（内无坏女人可以放心看）（PV已修改）/小心坏女人
BV1j39tYmE6b, 【原创曲】兔兔兔-我想我的心里有一只 bunny/兔兔兔
BV1zGPteVEM2, 是的，我们虚拟主播的情人节就这么过！
BV17yABeMEif, 【原创说唱】《醺》-这才多少我没喝醉！(」ﾟヘﾟ)」/醺
BV1GdKpexENZ, 【周杰伦×大塚爱】情人节特别篇-麦芽糖×七里香remix, 甘い気持ちまるかじり, 麦芽糖, 七里香, 晴天娃娃
BV1noNKeoEoa, 【原创说唱】《砌》-直至筑起我的宝塔。/砌
BV1eDqaYUE42, 【原创】夏日慵懒旋律rap，但是四川话，而且冬天发。/夏日慵懒旋律rap
BV1R9qpYREJs, 看见你我就- ¦•ˇ₃ˇ•｡) -夹子表白百分百胜率rap（自己写的！）/看见你我就
BV1bx421f7oj, 『如果』如果有如果，你会想说什么？【mugenlive虚拟元宵歌会】/如果
BV1xe411e7yd, 食虫植物-雾深Girimi/食虫植物
BV1hj411J7KZ, 玩这个都要尔虞我诈？？
